URL_Completa,Titulo,Descripción,fecha
https://www.abc.es/espana/madrid/abci-snoopy-sicario-mas-sanguinario-espana-condenado-22-anos-y-medio-carcel-201906260115_noticia.html,"«Snoopy», el sicario más sanguinario de España, condenado a 22 ...","El autor del <em>crimen</em> abandonó <em>Madrid</em> y huyó a Alicante. ... se le imponen 28 años y tres meses como autor de un <em>delito</em> de <em>asesinato</em> alevoso,&nbsp;...",25 jun. 2019
https://elpais.com/ccaa/2019/06/10/madrid/1560143397_524726.html,Un hombre mata a tiros en Aranjuez a su cuñada y deja heridas a ...,"Su exmujer no estaba en el escenario del <em>crimen</em>. El <em>asesinato</em> ocurrió a las 21.50. ... marrón que hace de cortina, discutiendo con alguien de la <em>calle</em>. ... 25 años para realojar a familias de poblados chabolistas de <em>Madrid</em>. ... Ese día también fue detenida Cele, acusada de un <em>delito</em> contra la salud pública.",10 jun. 2019
https://www.laverdad.es/murcia/cartagena/crimen-calle-roque-20190608003656-ntvo.html,El crimen de la calle San Roque,"Una hora después, cuando Petra baja a la <em>calle</em> para comprar pan, ... Hacía pocos meses que en <em>Madrid</em> se había producido el famoso y mediático <em>crimen</em> de la <em>calle</em> ... no tuvieron inconveniente alguno en cometer un doble <em class="""">asesinato</em>. ... se encontraba en la <em>plaza</em> de Castellini, llenando la sala de vistas.",7 jun. 2019
https://elpais.com/ccaa/2019/06/14/madrid/1560518576_512763.html,Cuando la memoria de un crimen fascista acaba en el respiradero de ...,"Cuando la memoria de un <em>crimen</em> fascista acaba en el respiradero de un garaje ... in extremis, en el último día de la legislatura, colocar la placa en la <em>plaza</em> contigua, ... y representantes de todos los partidos del Ayuntamiento de <em>Madrid</em>. ... La primera comunidad de vecinos, <em>calle</em> Silva 23, se dividió en la&nbsp;...",14 jun. 2019
https://www.libertaddigital.com/espana/2019-06-23/tve-convierte-en-desaparicion-el-asesinato-de-14-monjas-en-la-guerra-civil-1276640795/,"TVE convierte en ""desaparición"" el asesinato de 14 monjas en la ...","TVE convierte en ""desaparición"" el <em>asesinato</em> de 14 monjas en la Guerra Civil ... beatificadas este sábado en la Catedral de la Almudena de <em>Madrid</em>. ... de San José se refugiaron en un piso de la <em>calle</em> Francisco Silvela, 19.",23 jun. 2019
https://elpais.com/ccaa/2019/05/24/madrid/1558724285_977470.html,Asesinato de una anciana frente a la comisaría,"Unos 30 pasos separan la comisaría de la Policía Nacional de Fuenlabrada (<em>Madrid</em>) y el piso bajo en el que vivía Mercedes Villén Cortés, de&nbsp;...",1 jun. 2019
https://www.elmundo.es/madrid/2019/06/11/5cffbc5afdddff84048b4586.html,"Muere la segunda víctima del tiroteo de Aranjuez, también cuñada del ...","Varios testigos señalaron que el detonante del <em>asesinato</em> fue que le llamaron «cornudo». Familiares de ... El <em>crimen</em> ocurrió el domingo a las 21.50 horas en un bloque de viviendas situado en la <em>calle</em> Victoria Khami de Aranjuez. La principal ... «No queda nadie, ninguno de sus parientes están en <em>Madrid</em>.",11 jun. 2019
https://www.elmundo.es/madrid/2019/06/14/5d02ac7121efa07c178b468c.html,"""El pecado se paga con la muerte"", el mensaje premonitorio en ...","El presunto autor del doble <em>crimen</em> de las dos hermanas de Aranjuez, ... 12 de Octubre de <em>Madrid</em> como consecuencia de las heridas sufridas. ... El pasado domingo por la tarde Juanín se cruzó con sus cuñadas en la <em>calle</em>.",13 jun. 2019
https://www.europapress.es/cantabria/noticia-detenido-homicidio-calle-barcelona-santanderino-25-anos-residia-sesena-toledo-20190613123830.html,El detenido por el crimen de la calle Barcelona es un santanderino de ...,"El detenido por el homicidio de la <em>calle</em> Barcelona de Santander, en el que ... Su primo, al que se considera autor de un <em>delito</em> de lesiones por golpear a ... Héctor Moreno, y responsables policiales de Santander y <em>Madrid</em>, que&nbsp;...",13 jun. 2019
https://www.elperiodico.com/es/sociedad/20190610/hombre-mata-disparo-mujer-aranjuez-madrid-7497206,Mata de un disparo a su cuñada y hiere a otras dos mujeres de su ...,"Los hechos tuvieron lugar en torno a las 21.50 horas en la << ... Al llegar al lugar del <em>crimen</em>, los servicios de emergencias se&nbsp;...",10 jun. 2019
